Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Spinach peanut burfi (Palak aur mungfali ki burfi),Pan-India / General Home Cooking,Sweet,Veg,"A vegetarian sweet typically made with spinach, peanut.","Spinach, Peanut",,105.37,3.36,13.59,4.39,11.5,2.07,19.52,40.95,1.61,30.28,164.72,"Spinach, Peanut, Sugar, Ghee, Milk/Khoya, Cardamom","Spinach (Laghu, cooling, iron-rich); Peanut (Guru, Ushna, energy dense); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Spinach peanut namak paras (Palak moongfali namak paras),Pan-India / General Home Cooking,Snack (Dry/Namkeen),Veg,"A vegetarian snack typically made with spinach, peanut.","Spinach, Peanut",,740.16,1.65,6.62,78.51,0.28,0.81,73.15,13.35,0.67,11.39,64.2,"Spinach, Peanut, Gram Flour (Besan), Oil, Spices, Salt","Spinach (Laghu, cooling, iron-rich); Peanut (Guru, Ushna, energy dense); Gram Flour (Besan) (Laghu, light, balances Kapha); Oil (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Spinach poori (Palak poori),Pan-India / General Home Cooking,Bread/Roti,Veg,A vegetarian bread/roti typically made with spinach.,Spinach,,684.25,1.42,7.76,71.86,0.24,1.55,35.47,10.02,0.79,3.03,18.9,"Spinach, Wheat Flour, Salt, Water, Oil/Ghee","Spinach (Laghu, cooling, iron-rich); Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Water (Balances doshas when eaten fresh and in moderation); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues)"
Spinach raita (Palak ka raita),Pan-India / General Home Cooking,Curry/Side (Raita),Veg,A vegetarian curry/side typically made with spinach.,Spinach,,52.75,3.95,5.06,1.86,3.97,1.39,126.57,142.96,1.61,32.9,160.65,"Spinach, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt, Yogurt, Roasted Cumin Powder, Coriander Leaves","Spinach (Laghu, cooling, iron-rich); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Yogurt (Amla, Guru, sour and cooling in moderation); Roasted Cumin Powder (Ushna, kindles Agni, eases digestion); Coriander Leaves (Shita, cooling, soothes Pitta)"
Spinach souffle,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert typically made with spinach.,Spinach,,150.18,7.36,6.27,10.52,0.89,1.44,244.07,133.69,2.15,30.28,172.47,"Spinach, Milk, Sugar, Egg, Cornflour","Spinach (Laghu, cooling, iron-rich); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Split bengal gram burfi/fudge (Channa dal burfi),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with chickpeas.,Chickpeas,,287.36,4.65,54.63,7.09,43.38,2.06,2.53,16.44,0.62,0.6,24.28,"Chickpeas, Sugar, Ghee, Milk/Khoya, Cardamom","Chickpeas (Laghu, grounding, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Split bengal gram dal (Channa dal),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with chickpeas.,Chickpeas,,99.67,4.15,9.99,4.62,0.98,3.72,46.4,21.99,1.92,13.38,103.45,"Chickpeas, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chickpeas (Laghu, grounding, aids digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Pan-India / General Home Cooking,Rice Dish,Veg,A vegetarian rice dish typically made with chickpeas.,Chickpeas,,116.53,3.6,19.72,2.3,1.59,3.16,98.07,19.09,0.82,27.07,104.21,"Chickpeas, Rice, Oil/Ghee, Whole Spices, Salt","Chickpeas (Laghu, grounding, aids digestion); Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Split bengal gram sweet rice (Channa dal sweet rice),Pan-India / General Home Cooking,Rice Dish,Veg,"A vegetarian rice dish typically made with rice, chickpeas.","Rice, Chickpeas",,190.21,4.15,41.07,0.64,19.41,2.23,8.38,30.37,1.77,0.0,48.48,"Rice, Chickpeas, Oil/Ghee, Whole Spices, Salt","Rice (Laghu, easy to digest, balances Kapha); Chickpeas (Laghu, grounding, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with chickpeas, bottle gourd.","Chickpeas, Bottle Gourd",,73.25,2.79,7.1,3.6,1.05,2.72,149.47,14.33,0.99,15.2,90.42,"Chickpeas, Bottle Gourd, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chickpeas (Laghu, grounding, aids digestion); Bottle Gourd (Laghu, light, supports digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Spring roll,Pan-India / General Home Cooking,Snack (Fried),Veg,A vegetarian snack.,Cabbage,,623.87,1.81,8.56,64.63,0.6,0.67,132.84,9.51,0.49,4.59,9.59,"Cabbage, Gram Flour (Besan)/Refined Flour, Oil (for frying), Spices, Salt","Cabbage (Laghu, Shita, light but can increase Vata); Gram Flour (Besan)/Refined Flour (Guru, heavier to digest, best in moderation); Oil (for frying) (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Sprouted moong dal chat,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with moong dal.,Moong Dal,,32.47,1.35,6.01,0.32,1.57,1.35,87.07,16.54,0.88,38.78,43.12,"Moong Dal, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Moong Dal (Laghu, protein-rich, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Sprouted moong daliya,Pan-India / General Home Cooking,Breakfast (Porridge/Cereal),Veg,A vegetarian breakfast typically made with moong dal.,Moong Dal,,111.56,2.81,14.77,4.71,1.67,3.12,196.73,22.62,1.29,7.53,35.24,"Moong Dal, Milk/Water, Sugar, Salt","Moong Dal (Laghu, protein-rich, balances Kapha); Milk/Water (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Salt (Ushna, enhances taste, balances electrolytes)"
Sprouted moong parantha/paratha,Pan-India / General Home Cooking,Breakfast/Tiffin,Veg,A vegetarian breakfast/tiffin typically made with moong dal.,Moong Dal,,228.59,4.29,24.31,12.43,1.47,4.49,153.94,20.33,1.94,2.0,12.52,"Moong Dal, Salt, Oil, Mixed Spices","Moong Dal (Laghu, protein-rich, balances Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Sprouted moong poha,Pan-India / General Home Cooking,Breakfast/Tiffin,Veg,"A vegetarian breakfast/tiffin typically made with flattened rice, moong dal.","Flattened Rice, Moong Dal",,192.6,5.59,26.6,6.89,1.93,3.13,220.82,28.39,2.43,19.24,46.81,"Flattened Rice, Moong Dal, Salt, Oil, Mixed Spices","Flattened Rice (Laghu, light and easy to digest, balances Kapha); Moong Dal (Laghu, protein-rich, balances Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Sprouted moong pulao,Pan-India / General Home Cooking,Rice Dish,Veg,A vegetarian rice dish typically made with moong dal.,Moong Dal,,112.97,2.19,17.49,3.61,1.43,1.78,153.16,16.26,0.65,7.53,43.15,"Moong Dal, Rice, Oil/Ghee, Whole Spices, Salt","Moong Dal (Laghu, protein-rich, balances Kapha); Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Sprouted moong raita,Pan-India / General Home Cooking,Curry/Side (Raita),Veg,A vegetarian curry/side typically made with moong dal.,Moong Dal,,60.89,4.62,6.13,2.19,5.59,0.16,189.2,139.44,0.86,3.59,27.0,"Moong Dal, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt, Yogurt, Roasted Cumin Powder, Coriander Leaves","Moong Dal (Laghu, protein-rich, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Yogurt (Amla, Guru, sour and cooling in moderation); Roasted Cumin Powder (Ushna, kindles Agni, eases digestion); Coriander Leaves (Shita, cooling, soothes Pitta)"
Sprouts upma,Pan-India / General Home Cooking,Breakfast/Tiffin,Veg,A vegetarian breakfast/tiffin.,Sprouts,,316.25,9.5,44.96,10.44,1.67,7.16,147.82,36.78,2.76,0.48,26.63,"Sprouts, Salt, Oil, Mixed Spices","Sprouts (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Starfruit preserves,Pan-India / General Home Cooking,Pickle/Preserve,Veg,A vegetarian pickle/preserve.,Starfruit,,128.93,0.24,33.62,0.12,33.47,0.78,2.06,5.24,0.2,17.65,4.32,"Starfruit, Oil, Mustard Seeds, Turmeric, Red Chilli Powder, Salt","Starfruit (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata); Mustard Seeds (Ushna, stimulates digestion); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes)"
Steamed orange pudding,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert typically made with orange.,Orange,,278.03,2.34,41.53,12.04,26.53,0.58,79.1,21.15,0.55,21.74,15.92,"Orange, Milk, Sugar, Egg, Cornflour","Orange (Balances doshas when eaten fresh and in moderation); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Steeped hot coffee,Pan-India / General Home Cooking,Beverage (Tea/Coffee/Hot Drink),Veg,A vegetarian beverage typically made with coffee.,Coffee,,15.91,0.39,3.01,0.33,2.96,0.0,2.82,10.4,0.06,0.3,1.27,"Coffee, Water, Sugar, Ice, Milk","Coffee (Balances doshas when eaten fresh and in moderation); Water (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation); Milk (Guru, Shita, cooling and building, balances Pitta)"
Stewed apple,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert typically made with apple.,Apple,,91.93,0.17,22.49,0.37,20.45,1.48,1.53,9.25,0.18,,,"Apple, Milk, Sugar, Egg, Cornflour","Apple (Laghu, Shita, cooling and light); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Stewed fruit (with pear),Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert.,Mixed Fruits,,74.32,0.25,18.22,0.32,17.67,2.84,1.7,5.94,0.21,2.48,4.33,"Mixed Fruits, Milk, Sugar, Egg, Cornflour","Mixed Fruits (Balances doshas when eaten fresh and in moderation); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Stuffed baked potatoes,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Potato,,100.2,3.82,11.03,4.39,0.4,1.31,92.09,25.72,0.81,18.77,23.25,"Potato, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Potato (Guru, Vata aggravating in excess); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Stuffed bittergourd (dry) (Bharwa karela),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with bitter gourd.,Bitter Gourd,,217.65,1.29,2.49,22.38,0.07,3.0,519.29,16.72,1.29,43.5,48.09,"Bitter Gourd, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Bitter Gourd (Laghu, light, supports digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Stuffed bittergourd (wet) (Bharwa karele),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Bittergourd,,162.36,1.36,4.68,15.24,1.95,2.86,360.09,17.25,0.91,46.93,63.07,"Bittergourd, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Bittergourd (Laghu, light, supports digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Stuffed bottle gourd (Stuffed ghiya/lauki),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with bottle gourd.,Bottle Gourd,,93.19,5.84,4.36,5.8,1.52,1.18,106.99,71.83,0.66,9.01,92.91,"Bottle Gourd, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Bottle Gourd (Laghu, light, supports digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Stuffed brinjal (Bharwa baingan),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with brinjal.,Brinjal,,93.0,1.53,3.96,7.73,0.92,4.09,212.88,24.37,0.75,1.13,17.11,"Brinjal, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Brinjal (Laghu, light, supports digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Stuffed capsicum (Bharwa shimla mirch),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with capsicum, chili.","Capsicum, Chili",,90.94,1.34,8.26,5.7,1.21,2.01,173.94,15.17,0.61,74.25,38.35,"Capsicum, Chili, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Capsicum (Balances doshas when eaten fresh and in moderation); Chili (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
